yyyy-mm-dd,pr_GFDL-ESM2M_rcp45(mm),tasmin_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),was_GFDL-ESM2M_rcp45(ms-1),huss_GFDL-ESM2M_rcp45(kgkg-1)
1/1/06,1.468925,266.693329,272.541321,2.513888,0.00193
1/2/06,0.405376,265.876038,270.577026,2.258409,0.001097
1/3/06,0,264.605011,272.024628,1.635369,0.001065
1/4/06,0,263.693268,271.144226,2.512742,0.001408
1/5/06,0,261.231323,270.248077,2.545473,0.001095
1/6/06,0,263.731689,272.165863,3.61767,0.001167
1/7/06,4.966119,270.731171,274.893829,4.22494,0.00282
1/8/06,0.571272,268.899597,280.622772,2.763625,0.003669
1/9/06,0.19774,258.968536,270.743774,5.034662,0.001313
1/10/06,0.056397,259.341919,266.82547,3.460136,0.000792
1/11/06,0,261.359283,273.772034,3.883808,0.001477
1/12/06,0.528572,271.972717,276.434235,4.027597,0.002718
1/13/06,0.55819,268.614594,275.441925,3.630325,0.001914
1/14/06,0.066948,264.507111,273.382202,0.846326,0.001351
1/15/06,0.18948,262.920441,271.360413,1.762257,0.001633
1/16/06,0,264.039703,273.12558,3.654636,0.001469
1/17/06,13.343102,269.399963,282.697723,6.125242,0.003802
1/18/06,0.12617,273.138702,283.344849,3.897408,0.002789
1/19/06,6.792863,272.638489,278.281006,5.416005,0.003432
1/20/06,2.468394,271.901459,281.322021,5.999129,0.003569
1/21/06,1.814002,266.180573,273.508118,9.003342,0.001917
1/22/06,0.376532,264.448853,270.940613,4.710881,0.000986
1/23/06,1.362732,259.282593,266.049896,4.407807,0.001101
1/24/06,1.484944,264.001312,271.80188,5.502891,0.001861
1/25/06,0.677346,269.261169,275.901855,3.74545,0.002336
1/26/06,1.391814,270.845886,276.182678,5.984933,0.003261
1/27/06,3.891365,259.137939,277.130829,4.195355,0.002441
1/28/06,0.680238,252.402924,263.719635,4.407676,0.00098
1/29/06,1.297431,257.215668,265.495453,5.084538,0.001003
1/30/06,1.099611,262.429993,267.683929,4.842197,0.001271
1/31/06,0,261.999725,270.8909,3.276465,0.001584
2/1/06,0.890473,267.236816,274.382355,2.643761,0.002258
2/2/06,25.172085,272.225159,282.646912,2.374342,0.003991
2/3/06,6.916095,260.672028,281.467316,6.896778,0.002325
2/4/06,0,246.390396,260.562866,6.91921,0.000511
2/5/06,0,249.953354,263.511688,0.799696,0.000767
2/6/06,0,256.588226,271.372864,3.938966,0.001446
2/7/06,0,266.156677,276.967468,2.704688,0.002178
2/8/06,0,269.121063,275.761475,1.598677,0.002531
2/9/06,0.313974,270.941315,276.485168,3.234224,0.002997
2/10/06,0,269.772827,278.874969,3.798763,0.002686
2/11/06,0.137524,270.441315,276.525696,4.148021,0.002194
2/12/06,0.708042,269.820923,276.224182,3.73115,0.002285
2/13/06,0.079031,271.999786,277.19165,2.930129,0.002413
2/14/06,0.773746,273.267731,279.532257,4.711622,0.002847
2/15/06,0.83362,264.904205,281.432739,3.134646,0.002904
2/16/06,0,260.639984,272.351166,1.223726,0.001194
2/17/06,0.27952,270.522095,281.539032,1.754377,0.002586
2/18/06,0,260.220764,273.574371,4.500823,0.001304
2/19/06,0,262.299652,273.608734,1.283314,0.000886
2/20/06,0,265.499664,275.876831,1.472003,0.001626
2/21/06,0,266.102478,276.349518,2.057578,0.002151
2/22/06,0,267.047699,277.490845,4.911241,0.002697
2/23/06,0,269.773834,282.628784,4.411559,0.003494
