,policy,perf,cost,risk,policy_num
0,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'XML', 'Regression']",469.25,280500,0.10005,11
1,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'CSV', 'Regression']",469.25,280500,0.10005,11
2,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'JSON', 'Regression']",469.25,280500,0.10005,11
3,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'XML', 'Regression']",469.25,280500,0.10005,12
4,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'CSV', 'Regression']",469.25,280500,0.10005,12
5,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'JSON', 'Regression']",469.25,280500,0.10005,12
6,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,12
7,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,12
8,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,12
9,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,13
10,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,13
11,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,13
12,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'XML', 'Regression']",469.25,280500,0.10005,11
13,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'CSV', 'Regression']",469.25,280500,0.10005,11
14,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'JSON', 'Regression']",469.25,280500,0.10005,11
15,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'XML', 'Regression']",469.25,280500,0.10005,12
16,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'CSV', 'Regression']",469.25,280500,0.10005,12
17,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'JSON', 'Regression']",469.25,280500,0.10005,12
18,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,12
19,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,12
20,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,12
21,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,13
