,policy_names,perf,cost,risk,perfVector,policy_num,policy
0,"['Glass tube', 'Manual', 'Farmbeats Sensorbox', 'Cloud', 'Model Predictive Control', 'B-Hyve Smart Hose']",2.85,901.65,0.2,"{'yield': 0.75, 'electricity': 0.1, 'water': 0.75, 'pesticides': 0.35, 'labor': 0.9}",6,"[<Decision_Model.decision_model.Decision object at 0x7f960b516760>, <Decision_Model.decision_model.Decision object at 0x7f960b516700>, <Decision_Model.decision_model.Decision object at 0x7f960b5166a0>, <Decision_Model.decision_model.Decision object at 0x7f960b5165e0>, <Decision_Model.decision_model.Decision object at 0x7f960b5165b0>, <Decision_Model.decision_model.Decision object at 0x7f960b516520>]"
1,"['Glass tube', 'Manual', 'Farmbeats Sensorbox', 'Cloud', 'On/Off Control', 'B-Hyve Smart Hose']",2.85,901.65,0.2,"{'yield': 0.75, 'electricity': 0.1, 'water': 0.75, 'pesticides': 0.35, 'labor': 0.9}",6,"[<Decision_Model.decision_model.Decision object at 0x7f960b516760>, <Decision_Model.decision_model.Decision object at 0x7f960b516700>, <Decision_Model.decision_model.Decision object at 0x7f960b5166a0>, <Decision_Model.decision_model.Decision object at 0x7f960b5165e0>, <Decision_Model.decision_model.Decision object at 0x7f960b516580>, <Decision_Model.decision_model.Decision object at 0x7f960b516520>]"
2,"['Glass tube', 'Manual', 'Farmbeats Sensorbox', 'Cloud', 'Model Predictive Control', 'Raspberry Pi']",2.75,901.5,0.2,"{'yield': 0.75, 'electricity': 0.1, 'water': 0.75, 'pesticides': 0.35, 'labor': 0.8}",6,"[<Decision_Model.decision_model.Decision object at 0x7f960b516760>, <Decision_Model.decision_model.Decision object at 0x7f960b516700>, <Decision_Model.decision_model.Decision object at 0x7f960b5166a0>, <Decision_Model.decision_model.Decision object at 0x7f960b5165e0>, <Decision_Model.decision_model.Decision object at 0x7f960b5165b0>, <Decision_Model.decision_model.Decision object at 0x7f960b5164c0>]"
3,"['Glass tube', 'Manual', 'Farmbeats Sensorbox', 'Cloud', 'On/Off Control', 'Raspberry Pi']",2.75,901.5,0.2,"{'yield': 0.75, 'electricity': 0.1, 'water': 0.75, 'pesticides': 0.35, 'labor': 0.8}",6,"[<Decision_Model.decision_model.Decision object at 0x7f960b516760>, <Decision_Model.decision_model.Decision object at 0x7f960b516700>, <Decision_Model.decision_model.Decision object at 0x7f960b5166a0>, <Decision_Model.decision_model.Decision object at 0x7f960b5165e0>, <Decision_Model.decision_model.Decision object at 0x7f960b516580>, <Decision_Model.decision_model.Decision object at 0x7f960b5164c0>]"
4,"['Glass tube', 'Manual', 'Arduino', 'Cloud', 'Model Predictive Control', 'B-Hyve Smart Hose']",2.5,816.65,0.2,"{'yield': 0.6000000000000001, 'electricity': 0.3, 'water': 0.6000000000000001, 'pesticides': 0.2, 'labor': 0.7999999999999999}",6,"[<Decision_Model.decision_model.Decision object at 0x7f960b516760>, <Decision_Model.decision_model.Decision object at 0x7f960b516700>, <Decision_Model.decision_model.Decision object at 0x7f960b516640>, <Decision_Model.decision_model.Decision object at 0x7f960b5165e0>, <Decision_Model.decision_model.Decision object at 0x7f960b5165b0>, <Decision_Model.decision_model.Decision object at 0x7f960b516520>]"
5,"['Glass tube', 'Manual', 'Arduino', 'Cloud', 'On/Off Control', 'B-Hyve Smart Hose']",2.5,816.65,0.2,"{'yield': 0.6000000000000001, 'electricity': 0.3, 'water': 0.6000000000000001, 'pesticides': 0.2, 'labor': 0.7999999999999999}",6,"[<Decision_Model.decision_model.Decision object at 0x7f960b516760>, <Decision_Model.decision_model.Decision object at 0x7f960b516700>, <Decision_Model.decision_model.Decision object at 0x7f960b516640>, <Decision_Model.decision_model.Decision object at 0x7f960b5165e0>, <Decision_Model.decision_model.Decision object at 0x7f960b516580>, <Decision_Model.decision_model.Decision object at 0x7f960b516520>]"
6,"['Glass tube', 'Manual', 'Arduino', 'Cloud', 'Model Predictive Control', 'Raspberry Pi']",2.4000000000000004,816.5,0.2,"{'yield': 0.6000000000000001, 'electricity': 0.3, 'water': 0.6000000000000001, 'pesticides': 0.2, 'labor': 0.7}",6,"[<Decision_Model.decision_model.Decision object at 0x7f960b516760>, <Decision_Model.decision_model.Decision object at 0x7f960b516700>, <Decision_Model.decision_model.Decision object at 0x7f960b516640>, <Decision_Model.decision_model.Decision object at 0x7f960b5165e0>, <Decision_Model.decision_model.Decision object at 0x7f960b5165b0>, <Decision_Model.decision_model.Decision object at 0x7f960b5164c0>]"
7,"['Glass tube', 'Manual', 'Arduino', 'Cloud', 'On/Off Control', 'Raspberry Pi']",2.4000000000000004,816.5,0.2,"{'yield': 0.6000000000000001, 'electricity': 0.3, 'water': 0.6000000000000001, 'pesticides': 0.2, 'labor': 0.7}",6,"[<Decision_Model.decision_model.Decision object at 0x7f960b516760>, <Decision_Model.decision_model.Decision object at 0x7f960b516700>, <Decision_Model.decision_model.Decision object at 0x7f960b516640>, <Decision_Model.decision_model.Decision object at 0x7f960b5165e0>, <Decision_Model.decision_model.Decision object at 0x7f960b516580>, <Decision_Model.decision_model.Decision object at 0x7f960b5164c0>]"
8,"['Glass tube', 'Sensor', 'Farmbeats Sensorbox', 'Cloud', 'Model Predictive Control', 'B-Hyve Smart Hose']",2.95,801.65,0.3,"{'yield': 0.8500000000000001, 'electricity': 0.1, 'water': 0.75, 'pesticides': 0.35, 'labor': 0.9}",6,"[<Decision_Model.decision_model.Decision object at 0x7f960b516760>, <Decision_Model.decision_model.Decision object at 0x7f960b5166d0>, <Decision_Model.decision_model.Decision object at 0x7f960b5166a0>, <Decision_Model.decision_model.Decision object at 0x7f960b5165e0>, <Decision_Model.decision_model.Decision object at 0x7f960b5165b0>, <Decision_Model.decision_model.Decision object at 0x7f960b516520>]"
9,"['Glass tube', 'Sensor', 'Farmbeats Sensorbox', 'Cloud', 'On/Off Control', 'B-Hyve Smart Hose']",2.95,801.65,0.3,"{'yield': 0.8500000000000001, 'electricity': 0.1, 'water': 0.75, 'pesticides': 0.35, 'labor': 0.9}",6,"[<Decision_Model.decision_model.Decision object at 0x7f960b516760>, <Decision_Model.decision_model.Decision object at 0x7f960b5166d0>, <Decision_Model.decision_model.Decision object at 0x7f960b5166a0>, <Decision_Model.decision_model.Decision object at 0x7f960b5165e0>, <Decision_Model.decision_model.Decision object at 0x7f960b516580>, <Decision_Model.decision_model.Decision object at 0x7f960b516520>]"
