,policy_names,perf,cost,risk,perfVector,policy_num,policy
0,"['Manual', 'Manual', 'Farmbeats Sensorbox', 'Raspberry Pi', 'Model Predictive Control', 'B-Hyve Smart Hose']",2.75,1336.65,0.4,"{'yield': 0.65, 'electricity': 0.1, 'water': 0.75, 'pesticides': 0.35, 'labor': 0.9}",6,"[<Decision_Model.decision_model.Decision object at 0x00000185144BFE48>, <Decision_Model.decision_model.Decision object at 0x00000185144BFDA0>, <Decision_Model.decision_model.Decision object at 0x00000185144BFBA8>, <Decision_Model.decision_model.Decision object at 0x00000185144BFE10>, <Decision_Model.decision_model.Decision object at 0x00000185144BF828>, <Decision_Model.decision_model.Decision object at 0x00000185144BF9E8>]"
1,"['Manual', 'Manual', 'Farmbeats Sensorbox', 'Raspberry Pi', 'Model Predictive Control', 'Rachio']",2.6500000000000004,1341.5,0.4,"{'yield': 0.65, 'electricity': 0.1, 'water': 0.75, 'pesticides': 0.35, 'labor': 0.8}",6,"[<Decision_Model.decision_model.Decision object at 0x00000185144BFE48>, <Decision_Model.decision_model.Decision object at 0x00000185144BFDA0>, <Decision_Model.decision_model.Decision object at 0x00000185144BFBA8>, <Decision_Model.decision_model.Decision object at 0x00000185144BFE10>, <Decision_Model.decision_model.Decision object at 0x00000185144BF828>, <Decision_Model.decision_model.Decision object at 0x00000185144BF780>]"
2,"['Manual', 'Manual', 'Farmbeats Sensorbox', 'Raspberry Pi', 'Model Predictive Control', 'Raspberry Pi']",2.6500000000000004,1336.5,0.4,"{'yield': 0.65, 'electricity': 0.1, 'water': 0.75, 'pesticides': 0.35, 'labor': 0.8}",6,"[<Decision_Model.decision_model.Decision object at 0x00000185144BFE48>, <Decision_Model.decision_model.Decision object at 0x00000185144BFDA0>, <Decision_Model.decision_model.Decision object at 0x00000185144BFBA8>, <Decision_Model.decision_model.Decision object at 0x00000185144BFE10>, <Decision_Model.decision_model.Decision object at 0x00000185144BF828>, <Decision_Model.decision_model.Decision object at 0x00000185144BFAC8>]"
3,"['Manual', 'Manual', 'Farmbeats Sensorbox', 'Raspberry Pi', 'On/Off Control', 'B-Hyve Smart Hose']",2.75,1336.65,0.4,"{'yield': 0.65, 'electricity': 0.1, 'water': 0.75, 'pesticides': 0.35, 'labor': 0.9}",6,"[<Decision_Model.decision_model.Decision object at 0x00000185144BFE48>, <Decision_Model.decision_model.Decision object at 0x00000185144BFDA0>, <Decision_Model.decision_model.Decision object at 0x00000185144BFBA8>, <Decision_Model.decision_model.Decision object at 0x00000185144BFE10>, <Decision_Model.decision_model.Decision object at 0x00000185144BF9B0>, <Decision_Model.decision_model.Decision object at 0x00000185144BF9E8>]"
4,"['Manual', 'Manual', 'Farmbeats Sensorbox', 'Raspberry Pi', 'On/Off Control', 'Rachio']",2.6500000000000004,1341.5,0.4,"{'yield': 0.65, 'electricity': 0.1, 'water': 0.75, 'pesticides': 0.35, 'labor': 0.8}",6,"[<Decision_Model.decision_model.Decision object at 0x00000185144BFE48>, <Decision_Model.decision_model.Decision object at 0x00000185144BFDA0>, <Decision_Model.decision_model.Decision object at 0x00000185144BFBA8>, <Decision_Model.decision_model.Decision object at 0x00000185144BFE10>, <Decision_Model.decision_model.Decision object at 0x00000185144BF9B0>, <Decision_Model.decision_model.Decision object at 0x00000185144BF780>]"
5,"['Manual', 'Manual', 'Farmbeats Sensorbox', 'Raspberry Pi', 'On/Off Control', 'Raspberry Pi']",2.6500000000000004,1336.5,0.4,"{'yield': 0.65, 'electricity': 0.1, 'water': 0.75, 'pesticides': 0.35, 'labor': 0.8}",6,"[<Decision_Model.decision_model.Decision object at 0x00000185144BFE48>, <Decision_Model.decision_model.Decision object at 0x00000185144BFDA0>, <Decision_Model.decision_model.Decision object at 0x00000185144BFBA8>, <Decision_Model.decision_model.Decision object at 0x00000185144BFE10>, <Decision_Model.decision_model.Decision object at 0x00000185144BF9B0>, <Decision_Model.decision_model.Decision object at 0x00000185144BFAC8>]"
6,"['Manual', 'Manual', 'Farmbeats Sensorbox', 'Raspberry Pi', 'Scheduling', 'B-Hyve Smart Hose']",2.45,1336.65,0.4,"{'yield': 0.65, 'electricity': 0.1, 'water': 0.75, 'pesticides': 0.35, 'labor': 0.6}",6,"[<Decision_Model.decision_model.Decision object at 0x00000185144BFE48>, <Decision_Model.decision_model.Decision object at 0x00000185144BFDA0>, <Decision_Model.decision_model.Decision object at 0x00000185144BFBA8>, <Decision_Model.decision_model.Decision object at 0x00000185144BFE10>, <Decision_Model.decision_model.Decision object at 0x00000185144BFA90>, <Decision_Model.decision_model.Decision object at 0x00000185144BF9E8>]"
7,"['Manual', 'Manual', 'Farmbeats Sensorbox', 'Raspberry Pi', 'Scheduling', 'Rachio']",2.35,1341.5,0.4,"{'yield': 0.65, 'electricity': 0.1, 'water': 0.75, 'pesticides': 0.35, 'labor': 0.5}",6,"[<Decision_Model.decision_model.Decision object at 0x00000185144BFE48>, <Decision_Model.decision_model.Decision object at 0x00000185144BFDA0>, <Decision_Model.decision_model.Decision object at 0x00000185144BFBA8>, <Decision_Model.decision_model.Decision object at 0x00000185144BFE10>, <Decision_Model.decision_model.Decision object at 0x00000185144BFA90>, <Decision_Model.decision_model.Decision object at 0x00000185144BF780>]"
8,"['Manual', 'Manual', 'Farmbeats Sensorbox', 'Raspberry Pi', 'Scheduling', 'Raspberry Pi']",2.35,1336.5,0.4,"{'yield': 0.65, 'electricity': 0.1, 'water': 0.75, 'pesticides': 0.35, 'labor': 0.5}",6,"[<Decision_Model.decision_model.Decision object at 0x00000185144BFE48>, <Decision_Model.decision_model.Decision object at 0x00000185144BFDA0>, <Decision_Model.decision_model.Decision object at 0x00000185144BFBA8>, <Decision_Model.decision_model.Decision object at 0x00000185144BFE10>, <Decision_Model.decision_model.Decision object at 0x00000185144BFA90>, <Decision_Model.decision_model.Decision object at 0x00000185144BFAC8>]"
9,"['Manual', 'Manual', 'Farmbeats Sensorbox', 'Cloud', 'Model Predictive Control', 'B-Hyve Smart Hose']",2.75,1301.65,0.4,"{'yield': 0.65, 'electricity': 0.1, 'water': 0.75, 'pesticides': 0.35, 'labor': 0.9}",6,"[<Decision_Model.decision_model.Decision object at 0x00000185144BFE48>, <Decision_Model.decision_model.Decision object at 0x00000185144BFDA0>, <Decision_Model.decision_model.Decision object at 0x00000185144BFBA8>, <Decision_Model.decision_model.Decision object at 0x00000185144BF908>, <Decision_Model.decision_model.Decision object at 0x00000185144BF828>, <Decision_Model.decision_model.Decision object at 0x00000185144BF9E8>]"
